[2025-12-05T12:29:52.208Z] USER_ID: 6932b6eff1c2c4a22457bda5 | USER: Unknown User | ACTION: PAYMENT_ORDER_CREATED | DETAILS: Amount: ₹1507.33, Course: 6932b619ca14a6257f32aabd, OrderID: order_Rnvkp8MR1qSMib, TrackingID: TN-1764937792162-911, IP: ::1
[2025-12-05T12:39:38.412Z] USER_ID: 6932b6eff1c2c4a22457bda5 | USER: Unknown User | ACTION: PAYMENT_ORDER_CREATED | DETAILS: Amount: ₹1507.33, Course: 6932b619ca14a6257f32aabd, OrderID: order_Rnvv8zSJf7wrS5, TrackingID: TN-1764938378366-767, IP: ::1
[2025-12-05T12:40:30.094Z] USER_ID: 6932b6eff1c2c4a22457bda5 | USER: Unknown User | ACTION: PAYMENT_VERIFIED | DETAILS: OrderID: order_Rnvv8zSJf7wrS5, PaymentID: undefined, Amount: ₹150733, Verified: true, IP: ::1
[2025-12-05T12:47:02.745Z] USER_ID: 6932b6eff1c2c4a22457bda5 | USER: Unknown User | ACTION: PAYMENT_ORDER_CREATED | DETAILS: Amount: ₹1507.39, Course: 6932b619ca14a6257f32aabd, OrderID: order_Rnw2y1Zk2kaJg1, TrackingID: TN-1764938822708-45, IP: ::1
[2025-12-05T12:47:24.055Z] USER_ID: 6932b6eff1c2c4a22457bda5 | USER: Unknown User | ACTION: PAYMENT_VERIFIED | DETAILS: OrderID: order_Rnw2y1Zk2kaJg1, PaymentID: undefined, Amount: ₹150739, Verified: true, IP: ::1
[2025-12-05T13:25:38.556Z] USER_ID: 6932b6eff1c2c4a22457bda5 | USER: Unknown User | ACTION: PAYMENT_ORDER_CREATED | DETAILS: Amount: ₹1507.33, Course: 6932b619ca14a6257f32aabd, OrderID: order_RnwhjQ8HWtS7mG, TrackingID: TN-1764941138180-33, IP: ::1
[2025-12-05T13:26:00.711Z] USER_ID: 6932b6eff1c2c4a22457bda5 | USER: Unknown User | ACTION: PAYMENT_VERIFIED | DETAILS: OrderID: order_RnwhjQ8HWtS7mG, PaymentID: undefined, Amount: ₹150733, Verified: true, IP: ::1
[2025-12-05T13:44:29.546Z] USER_ID: 6932b6eff1c2c4a22457bda5 | USER: Unknown User | ACTION: PAYMENT_ORDER_CREATED | DETAILS: Amount: ₹1507.33, Course: 6932b619ca14a6257f32aabd, OrderID: order_Rnx1eNLTBaSNfS, TrackingID: TN-1764942269505-650, IP: ::1
[2025-12-05T13:44:49.508Z] USER_ID: 6932b6eff1c2c4a22457bda5 | USER: Unknown User | ACTION: PAYMENT_VERIFIED | DETAILS: OrderID: order_Rnx1eNLTBaSNfS, PaymentID: undefined, Amount: ₹150733, Verified: true, IP: ::1
[2025-12-05T13:58:53.963Z] USER_ID: 6932b6eff1c2c4a22457bda5 | USER: Unknown User | ACTION: PAYMENT_ORDER_CREATED | DETAILS: Amount: ₹1507.33, Course: 6932b619ca14a6257f32aabd, OrderID: order_RnxGrutF69Ejxq, TrackingID: TN-1764943133915-447, IP: ::1
